expert_newsroom_id,expert_name,expert_url,total_project_count,total_project_count_us,expertises
ABC1234,PAE Consulting Engineers,https://www.archdaily.com/professional/pae-consulting-engineers,4,4,"MEP Engineer,Mechanical Engineering,MEP,MEP Engineers"
ABC1234,KPFF,https://www.archdaily.com/professional/kpff,22,22,"Engineering,Civil,Structural Engineering,Structural Engineer,Structural,Civil Engineering,Civil Engineer,Civil Engineers"
ABC1234,HHPR,https://www.archdaily.com/professional/hhpr,1,1,Engineering
ABC1234,Façade Group,https://www.archdaily.com/professional/facade-group,1,1,Engineering
ABC1234,Anderson Construction,https://www.archdaily.com/professional/anderson-construction,1,1,Contractor
ABC1234,Biella Lighting Design,https://www.archdaily.com/professional/biella-lighting-design,2,2,"Consultants,Lighting Designer"
ABC1234,Listen Acoustics,https://www.archdaily.com/professional/listen-acoustics,1,1,Consultants
ABC1234,2020 Engineering,https://www.archdaily.com/professional/2020-engineering,1,1,Civil Engineering
ABC1234,Cascade Design Collaborative,https://www.archdaily.com/professional/cascade-design-collaborative,1,1,Landscape
ABC1234,NCIDQ,https://www.archdaily.com/professional/ncidq,2,2,Interior Designer
ABC1234,Masako Wada IIDA,https://www.archdaily.com/professional/masako-wada-iida,1,1,Interior Designer
ABC1234,PCS Structural Solutions,https://www.archdaily.com/professional/pcs-structural-solutions,9,9,"Structural,Structural Engineer,Structural Engineering,Consultants"
ABC1234,Spee West Construction,https://www.archdaily.com/professional/spee-west-construction,1,1,General Contractor
ABC1234,Babich Acoustics,https://www.archdaily.com/professional/babich-acoustics,1,1,Acoustical Consultant
ABC1234,I.C. Thomasson Associates,https://www.archdaily.com/professional/i-c-thomasson-associates,1,1,MEP
ABC1234,Illumination Works,https://www.archdaily.com/professional/illumination-works,3,2,"Lighting Design,Lighting Designer"
ABC1234,Littlejohn Engineering Associates,https://www.archdaily.com/professional/littlejohn-engineering-associates,1,1,Civil Engineer
ABC1234,R.C. Mathews Contractor,https://www.archdaily.com/professional/r-c-mathews-contractor,1,1,General Contractor
ABC1234,Structural Design Group,https://www.archdaily.com/professional/structural-design-group,4,4,"Structural Engineers,Structural Engineer,Structural"
ABC1234,TSF Engineering,https://www.archdaily.com/professional/tsf-engineering,1,1,MEP Engineer
ABC1234,K-Squared Development,https://www.archdaily.com/professional/k-squared-development,1,1,General Contractor
ABC1234,Kravitz Design,https://www.archdaily.com/professional/kravitz-design,1,1,Interior Design
ABC1234,Future Green Studio,https://www.archdaily.com/professional/future-green-studio,6,6,"Landscape,Landscape Architect,Landscape Design,Landscape Designer"
ABC1234,2L Consulting Engineering,https://www.archdaily.com/professional/2l-consulting-engineering,1,1,MEP
ABC1234,McNamara/Salvia,https://www.archdaily.com/professional/mcnamara-salvia,7,7,"Structural Engineer,Structural Engineering,Structural"
ABC1234,Walter P Moore and Sykes Engineering,https://www.archdaily.com/professional/walter-p-moore-and-sykes-engineering,1,1,Structural
ABC1234,Cost Plus,https://www.archdaily.com/professional/cost-plus,1,1,Cost Estimator
ABC1234,Davis Pullen Engineers Inc,https://www.archdaily.com/professional/davis-pullen-engineers-inc,1,1,Electrical
